B cell	(0.0, 0.0, 0.5, 1.0)
Dendritic cell	(0.0, 0.0, 0.838680926916221, 1.0)
Endothelial cell	(0.0, 0.11176470588235295, 1.0, 1.0)
Granulocyte	(0.0, 0.42549019607843136, 1.0, 1.0)
Hematopoietic cell	(0.0, 0.7235294117647059, 1.0, 1.0)
Lymphocyte	(0.11068943706514844, 1.0, 0.8570524984187226, 1.0)
Macrophage	(0.3636938646426312, 1.0, 0.6040480708412397, 1.0)
Monocyte	(0.6040480708412397, 1.0, 0.3636938646426312, 1.0)
Myeloid cell	(0.8570524984187222, 1.0, 0.11068943706514867, 1.0)
Progenitor cell	(1.0, 0.7995642701525056, 0.0, 1.0)
Stem cell	(1.0, 0.5236020334059556, 0.0, 1.0)
Stromal cell	(1.0, 0.2331154684095862, 0.0, 1.0)
T cell	(0.8386809269162212, 0.0, 0.0, 1.0)
Unknown	(0.5, 0.0, 0.0, 1.0)
