Bins,B cell: Cluster #0,B cell: Cluster #1,B cell: Cluster #2,B cell: Cluster #3,B cell: Cluster #4,B cell: Cluster #5,B cell: Cluster #6,B cell: Cluster #7,Dendritic cell: Cluster #0,Dendritic cell: Cluster #1,Dendritic cell: Cluster #2,Dendritic cell: Cluster #3,Dendritic cell: Cluster #4,Dendritic cell: Cluster #5,Dendritic cell: Cluster #6,Dendritic cell: Cluster #7,Granulocyte: Cluster #0,Granulocyte: Cluster #1,Granulocyte: Cluster #2,Granulocyte: Cluster #3,Granulocyte: Cluster #4,Granulocyte: Cluster #5,Granulocyte: Cluster #6,Granulocyte: Cluster #7,Monocytes/Macrophages: Cluster #0,Monocytes/Macrophages: Cluster #1,Monocytes/Macrophages: Cluster #2,Monocytes/Macrophages: Cluster #3,Monocytes/Macrophages: Cluster #4,Monocytes/Macrophages: Cluster #5,Monocytes/Macrophages: Cluster #6,Monocytes/Macrophages: Cluster #7,NK cell: Cluster #0,NK cell: Cluster #1,NK cell: Cluster #2,NK cell: Cluster #3,NK cell: Cluster #4,NK cell: Cluster #5,NK cell: Cluster #6,NK cell: Cluster #7,T cell: Cluster #0,T cell: Cluster #1,T cell: Cluster #2,T cell: Cluster #3,T cell: Cluster #4,T cell: Cluster #5,T cell: Cluster #6,T cell: Cluster #7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0003,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0001,0.0003,0.0,9.999999999999999e-05,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0001,0.0001,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0002,0.0005,0.0002,0.0006,0.00019999999999999998,0.0,0.0001,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0001,0.0007000000000000001,0.0009,0.0004,0.0018,0.0007999999999999999,0.00039999999999999996,0.0009,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
0.05,0.0001,0.0002,0.0,0.0006,0.0,0.0,0.0,0.0,0.0007000000000000001,0.0009,0.0002,0.0013,0.0006,0.0002,0.0005,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0005,0.0003,0.0011,0.0002,0.0001,0.0007000000000000001,0.0006,0.0028000000000000004,0.0027,0.0013,0.0042,0.0017999999999999997,0.001,0.0037,0.0028000000000000004,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
0.06,0.0003,0.0006,0.0,0.001,0.0005,0.00039999999999999996,0.0002,0.0006,0.0025,0.0024,0.0013,0.0044,0.0018999999999999998,0.001,0.0016,0.0023,0.0,0.0001,0.0,0.0002,0.0001,0.0,0.0,0.0,0.002,0.0025,0.0019,0.0044,0.0016,0.0007000000000000001,0.0012,0.0023,0.0064,0.006500000000000001,0.0046,0.009000000000000001,0.0059,0.0031999999999999997,0.0051,0.0052,0.0006,0.0002,0.0001,0.0003,0.0004,0.0,0.0001,0.0004
0.07,0.0016,0.0007000000000000001,0.0001,0.0026,0.0009,0.0007999999999999999,0.0007000000000000001,0.0009,0.006,0.004699999999999999,0.0032,0.0096,0.0045,0.0029,0.004,0.0044,0.0001,0.0001,0.0002,0.0006,0.0001,0.0,0.0003000000000000001,0.0003,0.006500000000000001,0.0064,0.0053,0.0073,0.0051,0.003,0.0045000000000000005,0.0049,0.0116,0.013300000000000001,0.0095,0.0183,0.012699999999999998,0.008199999999999999,0.0109,0.0155,0.0005,0.0006,0.0001,0.0012,0.0005,0.0002,0.0001,0.0005
0.08,0.0025,0.0025,0.002,0.004699999999999999,0.0026,0.0012,0.0018,0.0022,0.013300000000000001,0.012,0.006500000000000001,0.0147,0.009899999999999999,0.0075,0.0106,0.0092,0.0009,0.0009,0.0003,0.0015,0.0005,0.0007000000000000001,0.0003000000000000001,0.0009,0.011000000000000001,0.0143,0.0078000000000000005,0.0176,0.012199999999999999,0.0092,0.0113,0.0111,0.024700000000000003,0.0254,0.0196,0.0239,0.022899999999999997,0.0197,0.0239,0.024300000000000002,0.0016,0.0025,0.0014000000000000002,0.0031,0.0026,0.0001,0.0016,0.002
0.09,0.0049,0.0072,0.0045000000000000005,0.0066,0.0036,0.0025999999999999994,0.0034000000000000002,0.0043,0.0203,0.0226,0.0172,0.0242,0.0203,0.0138,0.02,0.0203,0.0017000000000000001,0.0029,0.0014000000000000002,0.0036,0.0019,0.0007000000000000001,0.0021000000000000003,0.0019,0.027200000000000002,0.0256,0.022099999999999998,0.0268,0.025699999999999997,0.018799999999999997,0.021400000000000002,0.022000000000000002,0.042699999999999995,0.04,0.0321,0.0441,0.034199999999999994,0.028199999999999992,0.0356,0.0368,0.0067,0.0064,0.0037,0.009300000000000001,0.0045000000000000005,0.0027,0.0054,0.0049
0.1,0.0070999999999999995,0.0098,0.0062,0.0113,0.008100000000000001,0.0048,0.0088,0.0088,0.0374,0.038599999999999995,0.0294,0.0397,0.032,0.0269,0.032,0.034300000000000004,0.009399999999999999,0.008100000000000001,0.0042,0.009899999999999999,0.006999999999999999,0.0038,0.005900000000000001,0.006,0.04650000000000001,0.042699999999999995,0.039,0.047,0.0387,0.0359,0.0412,0.0373,0.0538,0.051399999999999994,0.051399999999999994,0.0556,0.05429999999999999,0.05029999999999999,0.0527,0.0496,0.0123,0.013300000000000001,0.0102,0.0187,0.0101,0.0089,0.0121,0.011000000000000001
0.11,0.0158,0.012199999999999999,0.0097,0.015700000000000002,0.0144,0.009899999999999999,0.014499999999999999,0.0138,0.055,0.0525,0.0483,0.057,0.054099999999999995,0.0519,0.0581,0.050499999999999996,0.0126,0.011899999999999999,0.0106,0.0175,0.013300000000000001,0.0098,0.012300000000000002,0.0131,0.059699999999999996,0.061500000000000006,0.0591,0.0639,0.056900000000000006,0.057800000000000004,0.056900000000000006,0.059500000000000004,0.0674,0.0705,0.0626,0.0668,0.06499999999999999,0.06519999999999998,0.0678,0.066,0.023700000000000002,0.0265,0.017,0.0254,0.0196,0.0155,0.0208,0.019299999999999998
0.12,0.0183,0.0204,0.016399999999999998,0.0245,0.021,0.014799999999999997,0.0204,0.0199,0.0786,0.079,0.08289999999999999,0.07440000000000001,0.0774,0.08220000000000001,0.0753,0.0839,0.025699999999999997,0.024700000000000003,0.0236,0.032,0.0254,0.0215,0.023400000000000004,0.0248,0.0786,0.0768,0.0736,0.0782,0.0808,0.073,0.07139999999999999,0.0782,0.0848,0.0793,0.0789,0.0819,0.08499999999999998,0.08749999999999998,0.0814,0.07980000000000001,0.035,0.0341,0.0294,0.039900000000000005,0.031200000000000002,0.0269,0.0365,0.0332
0.13,0.0302,0.03,0.0263,0.0331,0.0268,0.022899999999999997,0.0287,0.026099999999999998,0.1015,0.0987,0.1105,0.0964,0.09929999999999999,0.1033,0.1015,0.099,0.0467,0.042699999999999995,0.039900000000000005,0.0446,0.0478,0.036699999999999997,0.04040000000000001,0.04019999999999999,0.0897,0.0876,0.0955,0.08789999999999999,0.09359999999999999,0.0922,0.09210000000000002,0.0943,0.0883,0.0874,0.0915,0.0823,0.08629999999999999,0.0919,0.0833,0.0852,0.0509,0.050300000000000004,0.0455,0.049699999999999994,0.052300000000000006,0.0434,0.051100000000000007,0.0466
0.14,0.0395,0.037000000000000005,0.0334,0.0412,0.0349,0.0319,0.0344,0.0374,0.1151,0.11230000000000001,0.1207,0.1106,0.11939999999999998,0.1326,0.11939999999999999,0.1241,0.0696,0.0682,0.0667,0.0721,0.0702,0.0635,0.06430000000000001,0.0702,0.09949999999999999,0.0977,0.0981,0.0904,0.10640000000000001,0.1035,0.0968,0.1,0.0898,0.09050000000000001,0.1012,0.0805,0.09909999999999998,0.10619999999999999,0.09789999999999999,0.094,0.060899999999999996,0.0625,0.060599999999999994,0.0629,0.0661,0.06,0.060700000000000004,0.0621
0.15,0.0461,0.0472,0.0434,0.047400000000000005,0.044500000000000005,0.03629999999999999,0.0436,0.045599999999999995,0.1167,0.12369999999999999,0.14300000000000002,0.1045,0.12679999999999997,0.14,0.1293,0.12269999999999999,0.09570000000000001,0.0919,0.0967,0.0883,0.08800000000000001,0.0969,0.09170000000000002,0.0933,0.10039999999999999,0.1041,0.1116,0.0962,0.10310000000000001,0.1109,0.1038,0.1011,0.0882,0.0882,0.1042,0.0866,0.0895,0.10289999999999999,0.09369999999999999,0.0964,0.0719,0.075,0.0783,0.0736,0.075,0.07980000000000001,0.07629999999999999,0.0735
0.16,0.050300000000000004,0.052000000000000005,0.050499999999999996,0.051,0.050300000000000004,0.0472,0.0496,0.0526,0.1173,0.12050000000000001,0.12359999999999999,0.1076,0.12229999999999999,0.1261,0.1211,0.1204,0.1056,0.11359999999999999,0.1185,0.1067,0.1157,0.1202,0.11600000000000002,0.1176,0.0993,0.09949999999999999,0.1072,0.0897,0.09230000000000001,0.11539999999999999,0.1048,0.1041,0.08789999999999999,0.08710000000000001,0.0929,0.08449999999999999,0.08989999999999998,0.09909999999999998,0.0916,0.0861,0.0825,0.0789,0.087,0.0815,0.0862,0.0922,0.0814,0.0875
0.17,0.0596,0.0542,0.058499999999999996,0.0579,0.054000000000000006,0.0602,0.0554,0.059500000000000004,0.1018,0.1038,0.11320000000000001,0.1048,0.10679999999999998,0.1189,0.1091,0.109,0.1206,0.1173,0.1253,0.1121,0.1234,0.13949999999999999,0.12470000000000002,0.1247,0.0891,0.0867,0.1042,0.0842,0.0947,0.1014,0.09699999999999999,0.09609999999999999,0.0756,0.0827,0.08689999999999999,0.0729,0.0846,0.08789999999999999,0.0863,0.0837,0.086,0.0955,0.0929,0.0817,0.0926,0.09210000000000002,0.09300000000000001,0.0886
0.18,0.058499999999999996,0.0641,0.0645,0.059000000000000004,0.0626,0.061099999999999995,0.0633,0.0637,0.083,0.0825,0.08039999999999999,0.0876,0.08339999999999997,0.085,0.08650000000000001,0.08289999999999999,0.1152,0.1266,0.1404,0.11380000000000001,0.1242,0.14300000000000002,0.1292,0.1216,0.0789,0.07719999999999999,0.081,0.0753,0.08380000000000001,0.0913,0.0866,0.0818,0.0678,0.0669,0.0788,0.0687,0.0678,0.07259999999999998,0.0725,0.0724,0.09519999999999999,0.0862,0.0915,0.08349999999999999,0.0898,0.09789999999999999,0.0907,0.09720000000000001
0.19,0.060599999999999994,0.062400000000000004,0.064,0.06480000000000001,0.0655,0.06709999999999999,0.0673,0.0644,0.060700000000000004,0.059500000000000004,0.0567,0.0571,0.06029999999999999,0.0518,0.055099999999999996,0.053899999999999997,0.11259999999999999,0.1117,0.1189,0.0964,0.1119,0.12390000000000001,0.11750000000000002,0.11460000000000001,0.069,0.0659,0.0704,0.06709999999999999,0.0647,0.0662,0.0698,0.0695,0.057300000000000004,0.0587,0.0617,0.0567,0.06059999999999999,0.06269999999999999,0.0594,0.0599,0.08449999999999999,0.0868,0.0924,0.0774,0.091,0.0947,0.09480000000000001,0.0855
0.2,0.0664,0.0654,0.0644,0.0593,0.06559999999999999,0.07239999999999999,0.0678,0.062,0.0378,0.04,0.0335,0.044000000000000004,0.04079999999999999,0.0316,0.0362,0.0385,0.0986,0.0883,0.0981,0.08929999999999999,0.08789999999999999,0.0956,0.0947,0.0947,0.051500000000000004,0.0546,0.049100000000000005,0.0525,0.0496,0.0496,0.0537,0.0495,0.0429,0.0454,0.044800000000000006,0.0475,0.046,0.04209999999999999,0.043899999999999995,0.045700000000000005,0.0782,0.0765,0.085,0.0721,0.0789,0.08869999999999999,0.0789,0.08109999999999999
0.21,0.059699999999999996,0.064,0.0647,0.0559,0.0661,0.07639999999999998,0.0617,0.068,0.0262,0.021,0.017,0.029500000000000002,0.020499999999999997,0.013000000000000001,0.021400000000000002,0.021400000000000002,0.0741,0.0723,0.0678,0.0721,0.0712,0.0646,0.06920000000000001,0.071,0.034300000000000004,0.0364,0.0345,0.038,0.0382,0.0333,0.0339,0.037000000000000005,0.0373,0.0342,0.0288,0.033,0.0348,0.029999999999999995,0.0319,0.0382,0.0702,0.0683,0.0788,0.066,0.0726,0.0828,0.0731,0.0736
0.22,0.061799999999999994,0.059800000000000006,0.0688,0.0593,0.0652,0.0741,0.0637,0.0632,0.0132,0.0128,0.0067,0.015600000000000001,0.0116,0.0067,0.0092,0.0128,0.047599999999999996,0.049100000000000005,0.0436,0.0542,0.0482,0.0414,0.048400000000000006,0.044199999999999996,0.024300000000000002,0.0253,0.021,0.027200000000000002,0.024399999999999998,0.019799999999999998,0.0242,0.0215,0.0286,0.0264,0.0215,0.0264,0.0236,0.018999999999999996,0.0258,0.0231,0.0601,0.0593,0.0654,0.059000000000000004,0.0613,0.0613,0.059699999999999996,0.061
0.23,0.059699999999999996,0.0582,0.0672,0.0565,0.0574,0.06939999999999999,0.0613,0.058499999999999996,0.0074,0.0072,0.0039000000000000003,0.0077,0.0036999999999999993,0.0034999999999999996,0.005699999999999999,0.0051,0.0274,0.0313,0.0222,0.0365,0.030699999999999998,0.0206,0.028100000000000003,0.0304,0.0151,0.0161,0.0105,0.018000000000000002,0.0138,0.0097,0.0148,0.013999999999999999,0.016399999999999998,0.018500000000000003,0.0121,0.0192,0.015899999999999997,0.010899999999999998,0.0131,0.014499999999999999,0.051100000000000007,0.0507,0.0528,0.0472,0.044800000000000006,0.0519,0.0519,0.049
0.24,0.056600000000000004,0.0533,0.0622,0.049400000000000006,0.0559,0.06299999999999999,0.0557,0.061399999999999996,0.0031,0.0022,0.001,0.004699999999999999,0.0032999999999999995,0.0009,0.0018,0.0022,0.0197,0.0174,0.0127,0.0217,0.0165,0.0111,0.0164,0.016399999999999998,0.008,0.009399999999999999,0.0040999999999999995,0.0108,0.0077,0.0046,0.0075,0.0088,0.0098,0.0105,0.0072,0.0143,0.0087,0.005999999999999998,0.0086,0.0098,0.0408,0.036699999999999997,0.0366,0.0408,0.0391,0.0401,0.036699999999999997,0.0379
0.25,0.054900000000000004,0.0529,0.056900000000000006,0.050499999999999996,0.054299999999999994,0.0573,0.054900000000000004,0.0533,0.0014000000000000002,0.0012,0.0003,0.0026,0.0005,0.0002,0.001,0.0008,0.0086,0.011899999999999999,0.0059,0.0129,0.0088,0.0039000000000000003,0.007800000000000001,0.0075,0.0044,0.004699999999999999,0.0026,0.0083,0.0039000000000000003,0.0022,0.0033,0.0033,0.0083,0.0066,0.004699999999999999,0.009300000000000001,0.005399999999999999,0.0025999999999999994,0.0052,0.0058,0.0282,0.0311,0.0279,0.031,0.0278,0.022000000000000002,0.0273,0.0271
0.26,0.044800000000000006,0.0467,0.050300000000000004,0.0432,0.0482,0.05129999999999999,0.0513,0.046900000000000004,0.0003,0.0009,0.0002,0.0006,0.00019999999999999998,0.0,0.0003,0.0008,0.0042,0.0053,0.002,0.006999999999999999,0.0040999999999999995,0.0016,0.004200000000000001,0.0036,0.0023,0.0025,0.0005,0.0036,0.0011,0.0011,0.0017000000000000001,0.0016,0.0034000000000000002,0.0037,0.0018,0.005600000000000001,0.0029,0.0012,0.0023,0.0024,0.019799999999999998,0.0219,0.018500000000000003,0.0258,0.0199,0.016200000000000003,0.0179,0.020099999999999996
0.27,0.0377,0.0405,0.0424,0.0375,0.0415,0.043199999999999995,0.0429,0.038,0.0001,0.0001,0.0001,0.0003,9.999999999999999e-05,0.0,0.0,0.0002,0.0014000000000000002,0.0021,0.0008,0.0044,0.0018,0.0007000000000000001,0.0025000000000000005,0.0017000000000000001,0.0011,0.0015,0.0005,0.0028000000000000004,0.0009,0.0001,0.0007000000000000001,0.0011,0.0012,0.0015,0.0008,0.0024,0.001,0.0007999999999999999,0.0014000000000000002,0.001,0.014199999999999999,0.0132,0.0106,0.018500000000000003,0.0155,0.009899999999999999,0.0127,0.0144
0.28,0.0365,0.0336,0.0393,0.0285,0.037000000000000005,0.037099999999999994,0.0356,0.0341,0.0,0.0001,0.0,0.0001,9.999999999999999e-05,0.0,0.0001,0.0,0.0011,0.0009,0.0,0.0014000000000000002,0.0009,0.0003,0.0004000000000000001,0.0008,0.0004,0.0002,0.0001,0.0007000000000000001,0.0003,0.0001,0.0004,0.0002,0.0009,0.0006,0.0003,0.0018,0.0006,0.00019999999999999998,0.0004,0.0005,0.0098,0.0091,0.006,0.012,0.008199999999999999,0.006,0.0075,0.0103
0.29,0.030899999999999997,0.03,0.0278,0.029300000000000003,0.031200000000000002,0.027999999999999997,0.0308,0.028999999999999998,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004,0.0005,0.0002,0.0007000000000000001,0.0002,0.0,0.00020000000000000004,0.0004,0.0003,0.0001,0.0,0.0005,0.0001,0.0001,0.0002,0.0001,0.0007000000000000001,0.0005,0.0003,0.0011,0.0005,9.999999999999999e-05,0.0003,0.0004,0.0068000000000000005,0.0064,0.004,0.0077,0.0044,0.0033,0.0042,0.0062
